Job ID,Customer,Industry,Shift,Operator ID,Operator Level,Material,Department,Machine,Process Type,Complexity Score,Tool Condition,Rush Order,Machine Downtime,Inspection Type,Outside Process,Outside Process Type,Hardware,Hardware Type,Deburr,Setup Minutes,Cycle Time Seconds,Total Parts,Defect Count,Defect Rate,Thread,Defect Type,Possible Cause,Scrap Cost Per Part,Production Cost
JOB_10000,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_002,Junior,430 Stainless Steel,Mill,YCM_2,Tight_Tolerance,8,Mid_Life,No,No,100%_Inspection,Yes,Gold_Anodize,Yes,Dowel_Pins,Manually Deburred,99,98.14,166,5,2.85,No,Burrs_In_Part,Tool_On_Machine_Broke,25.0,902.56
JOB_10001,Medtronic,Medical,Second 1:30PM to 9:30PM,OP_003,Mid,6061 Aluminum,Mill,YCM_3,High_Precision,8,Worn,No,No,First_Article,No,None,No,None,Part_Deburred_On_Machine,114,101.68,276,10,3.55,No,Incorrect_Hole_Size,Programming_Error,21.0,1158.67
JOB_10002,Tesla,Automotive,First 6:00AM-2:30PM,OP_004,Mid,303 Stainless Steel,Mill,Doosan_HC400_II,Standard,2,Mid_Life,Yes,Yes,First_Article,No,None,No,None,Part_Deburred_On_Machine,29,57.77,2021,47,2.35,No,Burrs_In_Part,Incorrect_Tool_Used,17.0,4128.0
JOB_10003,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_002,Junior,6063 Aluminum,Lathe,Miyano_BND,Surface_Finish_Critical,5,Worn,Yes,No,First_Article,No,None,No,None,Part_Deburred_On_Machine,65,64.61,153,6,3.7,Yes,Incorrect_Hole_Size,Tool_On_Machine_Broke,15.5,414.64
JOB_10004,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_001,Junior,430 Stainless Steel,Lathe,Small_Wia,Standard,3,New,No,No,Final_Inspection,No,None,No,None,Part_Deburred_On_Machine,53,71.23,874,10,1.1,No,Incorrect_Engraving,Operator_Mistake,17.5,1716.51
JOB_10005,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_001,Junior,304 Stainless Steel,Lathe,Big_Wia,Tight_Tolerance,7,Mid_Life,No,No,In_Process,Yes,Beadblast,Yes,Bolts,Manually Deburred,89,60.18,807,26,3.2,Yes,Missing_Feature,Careless_Deburring,25.5,2788.94
JOB_10006,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_002,Junior,6063 Aluminum,Lathe,Small_Wia,Secondary_Operation,6,Worn,No,No,In_Process,Yes,Nickel_Plating,No,None,Manually Deburred,94,92.82,1025,33,3.25,Yes,Dent,Part_Lifted_On_Machine,17.0,3774.32
JOB_10007,Medtronic,Medical,First 6:00AM-2:30PM,OP_004,Mid,6063 Aluminum,Mill,Doosan_HC400_II,Surface_Finish_Critical,7,Worn,No,No,In_Process,No,None,Yes,Screw,Manually Deburred,82,117.18,1025,33,3.2,Yes,Incorrect_Hole_Size,Incorrect_Tool_Used,18.5,4473.64
JOB_10008,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_006,Senior,6063 Aluminum,Mill,YCM_1,High_Precision,8,New,No,Yes,100%_Inspection,No,None,No,None,Part_Deburred_On_Machine,102,78.74,69,2,2.55,Yes,Thread_Defect,Measurement_Error,20.0,351.77
JOB_10009,Applied_Materials,Semiconductor,Second 1:30PM to 9:30PM,OP_003,Mid,Steel,Mill,Matsuura_MAM72,Tight_Tolerance,7,Worn,No,No,First_Article,No,None,No,None,Manually Deburred,80,83.86,290,10,3.3,No,Incorrect_Hole_Size,Improper_Setup,20.5,1074.93
JOB_10010,Tesla,Automotive,First 6:00AM-2:30PM,OP_005,Senior,6061 Aluminum,Lathe,Big_Wia,Standard,2,New,No,No,In_Process,Yes,Gold_Anodize,No,None,Part_Deburred_On_Machine,27,44.56,2529,4,0.15,Yes,Dent,Loaded_Part_On_Wrong_Size,12.0,4358.57
JOB_10011,Tesla,Automotive,First 6:00AM-2:30PM,OP_003,Mid,430 Stainless Steel,Mill,YCM_2,High_Precision,8,Worn,Yes,No,100%_Inspection,Yes,Chem_Film,No,None,Manually Deburred,110,90.4,94,4,4.05,Yes,Burrs_In_Part,Improper_Setup,25.0,587.71
JOB_10012,Applied_Materials,Semiconductor,Second 1:30PM to 9:30PM,OP_001,Junior,7075 Aluminum,Lathe,Miyano_BND,High_Precision,8,Mid_Life,Yes,No,Final_Inspection,No,None,No,None,Part_Deburred_On_Machine,113,97.74,193,8,3.95,Yes,Scratches,Operator_Mistake,28.0,813.16
JOB_10013,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_006,Senior,6061 Aluminum,Mill,Doosan_HC400_II,Tight_Tolerance,6,Mid_Life,No,No,First_Article,No,None,Yes,Screw,Manually Deburred,62,94.9,972,19,1.95,Yes,Burrs_In_Part,Operator_Mistake,18.0,3408.95
JOB_10014,Applied_Materials,Semiconductor,Second 1:30PM to 9:30PM,OP_005,Senior,303 Stainless Steel,Mill,YCM_1,High_Precision,10,New,No,No,Final_Inspection,No,None,No,None,Part_Deburred_On_Machine,111,97.39,259,6,2.25,Yes,Out_Of_Tolerance,Improper_Setup,29.0,1041.28
JOB_10015,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_002,Junior,304 Stainless Steel,Mill,Matsuura_MAM72,Standard,3,Mid_Life,No,No,First_Article,Yes,Heat_Treatment,No,None,Manually Deburred,59,66.95,373,7,1.9,No,Damage_To_Surface,Programming_Error,19.5,1243.26
JOB_10016,Medtronic,Medical,First 6:00AM-2:30PM,OP_006,Senior,6063 Aluminum,Lathe,Miyano_BND,Standard,4,Mid_Life,No,No,In_Process,Yes,Colored_Hard_Anodize,No,None,Part_Deburred_On_Machine,47,65.61,2164,16,0.75,No,Dent,Part_Lifted_On_Machine,14.0,4956.58
JOB_10017,Medtronic,Medical,First 6:00AM-2:30PM,OP_006,Senior,7075 Aluminum,Mill,NFX400A,Standard,3,Mid_Life,No,No,In_Process,No,None,No,None,Manually Deburred,37,69.23,612,6,1.0,No,Dent,Incorrect_Revision_Level,20.5,1513.85
JOB_10018,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_005,Senior,304 Stainless Steel,Lathe,Miyano_BND,Surface_Finish_Critical,7,New,No,No,First_Article,No,None,Yes,Bolts,Manually Deburred,74,90.49,862,16,1.9,No,Incorrect_Engraving,Incorrect_Tool_Used,25.5,2714.15
JOB_10019,Medtronic,Medical,First 6:00AM-2:30PM,OP_006,Senior,430 Stainless Steel,Mill,YCM_2,Standard,4,New,No,No,First_Article,No,None,Yes,Dowel_Pins,Manually Deburred,42,79.97,2992,19,0.65,Yes,Material_Cut_Too_Small,Material_Defect,19.0,8387.18
JOB_10020,Medtronic,Medical,Second 1:30PM to 9:30PM,OP_001,Junior,7075 Aluminum,Lathe,Miyano_BND,Standard,3,Mid_Life,No,No,In_Process,Yes,Colored_Paint,Yes,Bolts,Manually Deburred,56,53.22,1565,30,1.9,Yes,Dent,Machine_Broke_Down,20.5,4340.29
JOB_10021,Medtronic,Medical,First 6:00AM-2:30PM,OP_003,Mid,304 Stainless Steel,Mill,YCM_1,Tight_Tolerance,8,Mid_Life,No,No,Final_Inspection,No,None,Yes,Hinge,Part_Deburred_On_Machine,88,91.95,326,9,2.65,Yes,Thread_Defect,Incorrect_Tool_Used,27.0,1271.16
JOB_10022,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_005,Senior,303 Stainless Steel,Lathe,Big_Wia,Standard,3,New,No,No,First_Article,No,None,No,None,Part_Deburred_On_Machine,36,38.52,1885,6,0.3,Yes,Thread_Defect,Incorrect_Tool_Used,18.5,1961.06
JOB_10023,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_005,Senior,Steel,Lathe,Small_Wia,Surface_Finish_Critical,6,New,No,No,In_Process,Yes,Beadblast,Yes,Fasteners,Part_Deburred_On_Machine,70,77.42,921,12,1.35,No,Damage_To_Surface,Loaded_Part_On_Wrong_Size,19.0,2734.76
JOB_10024,Medtronic,Medical,First 6:00AM-2:30PM,OP_001,Junior,430 Stainless Steel,Lathe,Big_Wia,Secondary_Operation,4,Mid_Life,No,No,In_Process,No,None,Yes,Bolts,Manually Deburred,83,53.38,459,10,2.25,Yes,Damage_To_Surface,Loaded_Part_On_Wrong_Size,19.0,1097.59
JOB_10025,Medtronic,Medical,First 6:00AM-2:30PM,OP_004,Mid,6063 Aluminum,Mill,Matsuura_MAM72,Tight_Tolerance,7,Mid_Life,No,No,Final_Inspection,Yes,Colored_Hard_Anodize,No,None,Manually Deburred,85,73.01,1012,25,2.5,Yes,Incorrect_Engraving,Careless_Deburring,18.5,3508.26
JOB_10026,Medtronic,Medical,Second 1:30PM to 9:30PM,OP_002,Junior,304 Stainless Steel,Mill,Matsuura_MAM72,Standard,4,Mid_Life,No,No,In_Process,No,None,Yes,Hinge,Manually Deburred,67,82.23,2695,55,2.05,No,Incorrect_Hole_Size,Improper_Setup,21.0,8591.37
JOB_10027,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_003,Mid,Steel,Mill,YCM_3,Secondary_Operation,6,Worn,Yes,Yes,In_Process,Yes,Passivation,No,None,Manually Deburred,78,95.98,406,17,4.25,Yes,Scratches,Operator_Mistake,19.0,1860.52
JOB_10028,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_004,Mid,430 Stainless Steel,Mill,YCM_3,Surface_Finish_Critical,7,New,No,No,First_Article,No,None,Yes,Hinge,Part_Deburred_On_Machine,72,109.65,587,12,2.0,No,Dent,Part_Lifted_On_Machine,23.5,2270.61
